rank,score,popularity,title,type,source,genres,demographic,rating
183,8.45,497,Owarimonogatari,tv,light_novel,"Comedy, Mystery, Supernatural, Vampire",,r
184,8.44,133,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,tv,manga,"Action, Adventure, Super Power",Shounen,r
185,8.44,2258,Kimi ni Todoke 3rd Season,ona,manga,"Drama, Romance, School",Shoujo,pg_13
186,8.44,1162,Pluto,ona,manga,"Action, Detective, Mystery, Psychological, Sci-Fi, Suspense",Seinen,pg_13
187,8.44,7238,Xian Ni,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
188,8.44,6664,Doupo Cangqiong: Nian Fan,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
189,8.43,53,Chainsaw Man,tv,manga,"Action, Fantasy, Gore, Urban Fantasy",Shounen,r
190,8.43,1400,Golden Kamuy 3rd Season,tv,manga,"Action, Adult Cast, Adventure, Historical, Military",Seinen,r
191,8.43,36,Haikyuu!!,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
192,8.43,381,Hunter x Hunter,tv,manga,"Action, Adventure, Fantasy",Shounen,pg_13
193,8.43,553,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,tv,light_novel,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel",,r
194,8.43,57,Spy x Family,tv,manga,"Action, Award Winning, Childcare, Comedy, Super Power",Shounen,pg_13
195,8.43,1103,Zoku Owarimonogatari,tv,light_novel,"Comedy, Mystery, Supernatural, Vampire",,r
196,8.42,173,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,tv,light_novel,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel",,r
197,8.42,439,Shingeki no Kyojin: Kuinaki Sentaku,ova,visual_novel,Action,,r
198,8.42,1558,Tian Guan Cifu,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mythology",,pg_13
199,8.42,535,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,movie,light_novel,Drama,,pg_13
200,8.42,2649,Wu Liuqi: Xuanwu Guo Pian,ona,original,"Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power",,r
201,8.42,5,Kimetsu no Yaiba,tv,manga,"Action, Award Winning, Historical, Supernatural",Shounen,r
202,8.42,1365,Kono Oto Tomare! Part 2,tv,manga,"Drama, Music, Performing Arts, School",Shounen,pg_13
203,8.42,621,Koukaku Kidoutai: Stand Alone Complex,tv,manga,"Adult Cast, Award Winning, Detective, Mecha, Military, Mystery, Sci-Fi",Seinen,r
204,8.42,2190,Mushishi Zoku Shou: Odoro no Michi,tv_special,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
205,8.42,2634,Natsume Yuujinchou Movie: Utsusemi ni Musubu,movie,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
206,8.42,768,Bungou Stray Dogs 4th Season,tv,manga,"Action, Adult Cast, Detective, Mystery, Organized Crime, Super Power",Seinen,r
207,8.42,3576,Gintama: Yorinuki Gintama-san on Theater 2D,movie,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
208,8.41,1349,Saenai Heroine no Sodatekata Fine,movie,light_novel,"Comedy, Harem, Otaku Culture, Romance, School",,pg_13
209,8.41,132,Saiki Kusuo no Ψ-nan,tv,manga,"Comedy, Gag Humor, School, Super Power",Shounen,pg_13
210,8.41,327,Saiki Kusuo no Ψ-nan 2,tv,manga,"Comedy, Gag Humor, School, Super Power",Shounen,pg_13
211,8.41,2462,Karakai Jouzu no Takagi-san Movie,movie,manga,"Love Status Quo, Romance, School",Shounen,pg_13
212,8.41,241,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,movie,light_novel,"Adventure, Comedy, Fantasy, Isekai, Parody",,pg_13
213,8.41,744,Mononoke,tv,original,"Adult Cast, Historical, Horror, Mystery, Mythology, Psychological, Supernatural, Suspense",,r
214,8.4,50,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,tv,manga,"Comedy, Romance, School",Seinen,pg_13
215,8.4,1477,Kamisama Hajimemashita: Kako-hen,ova,manga,"Comedy, Mythology, Romance, Supernatural, Time Travel",Shoujo,pg_13
216,8.4,458,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,tv,light_novel,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",,r
217,8.4,3386,Natsume Yuujinchou Roku Specials,special,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
218,8.39,2788,Major S5,tv,manga,"Sports, Team Sports",Shounen,pg_13
219,8.39,492,Houseki no Kuni,tv,manga,"Action, Anthropomorphic, Drama, Fantasy, Mystery",Seinen,pg_13
220,8.39,6036,Ramayana: The Legend of Prince Rama,movie,other,Adventure,,g
221,8.39,522,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,movie,original,"Drama, Fantasy",,pg_13
222,8.39,3766,Violet Evergarden: Recollections,special,light_novel,Drama,,pg_13
223,8.38,9531,Tunshi Xingkong 3rd Season,ona,web_novel,"Action, Adventure, Fantasy, Martial Arts, Sci-Fi",,pg_13
224,8.38,411,Vivy: Fluorite Eye's Song,tv,original,"Action, Music, Sci-Fi, Suspense, Time Travel",,r
